@relation Dataset_Weka1

@attribute avr_riseTime_1 numeric
@attribute avr_fallTime_1 numeric
@attribute avr_riseLevel_1 numeric
@attribute avr_fallLevel_1 numeric
@attribute Usuario {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
4.8,5,312.905558,-355.975947,1
4.6,5.2,312.511106,-349.288833,1
4.5,5,310.859172,-342.197682,1
4.4,5.2,308.400609,-340.074301,1
4.8,5.2,309.243406,-346.360584,1
4.5,5,302.67033,-335.144664,1
4.4,5.2,316.388583,-340.980836,1
5,5,316.952951,-349.211408,1
4.6,5.2,318.09277,-349.01196,1
5,5,322.278641,-347.303381,1
4.8,5.2,328.833473,-356.700231,1
4.6,5,324.996881,-344.925182,1
5,5,326.440434,-361.408636,1
4.6,5,320.517226,-357.238479,1
4.8,5,322.746111,-356.833736,1
4.6,5,316.234535,-357.254669,1
4.8,5.2,298.950122,-324.438404,1
4.6,5,299.941772,-348.587437,1
4.8,5,300.208729,-352.374183,1
5,5,319.261709,-355.586301,1
5,5,308.331996,-338.138309,1
4.6,5.4,297.353678,-334.224624,1
4.8,5.2,296.2772,-336.157042,1
5,5,313.933575,-341.303031,1
4.8,5.2,303.866992,-346.819723,1
4.75,5.25,314.332114,-339.960398,1
5,5,316.782965,-354.334347,1
4.8,5.2,318.750013,-350.544749,1
4.8,5.2,310.766753,-346.668955,1
5,5,315.689258,-341.787755,1
5,5,311.751686,-349.122797,1
4.8,5,312.176027,-350.327215,1
5,5,301.928674,-353.407295,1
5,5,307.301118,-347.90618,1
4.2,5.4,308.482157,-345.31571,1
4.4,5.2,306.839596,-342.790866,1
4.6,5,325.203097,-357.46969,1
5,5,324.80008,-354.775325,1
4.8,5.2,306.988678,-343.734858,1
4.2,5.4,305.649491,-356.437586,1
4.8,5.2,298.436997,-354.599063,1
4.6,5,312.503889,-342.723407,1
5,5,311.751066,-350.550327,1
5,5,313.653334,-348.054833,1
4.4,5.4,314.64073,-348.392622,1
4.8,4.8,300.411791,-342.592962,1
4.8,5,312.832056,-351.459915,1
4.2,5,307.430354,-357.103665,1
5,5,321.882987,-355.710667,1
4.5,5,320.521652,-344.917052,1
5,5,303.551537,-330.809757,1
4.5,5.5,314.526845,-340.67125,1
4.6,5.2,341.028279,-383.749391,1
5,5,359.59834,-400.546908,1
5,-90.25,346.715416,-393.579606,1
5,5,329.255229,-358.538335,1
